title,desc,year,genre,certificate,runtime,rating,votes
The Flintstones,Add a Plot,1980,Animation,,,7.6,43
Gekijouban Bureiku bureido Daisanshou: Kyoujin no kizu,Add a Plot,2010,"Animation, Action, Drama",,47 min,7.4,197
Path of Blood,"When a lone samurai sets his course towards the Path of Blood, unknown dangers and terror awaits. Will his great swordsmanship be enough to survive?",2013,"Animation, Action, Adventure",,60 min,6.9,31
MetaJets,"The year is 2067 and the world has moved up, literally, to cities in the skies. Fans all over the globe follow their favorite sport, the A.R.C. (Aeronautical Racing Circuit). Four of the ...                See full summary »",2011– ,"Animation, Action, Sci-Fi",,,8.0,39
Mondo Plympton,"A compilation of animator Bill Plympton's classic shorts, including ""Your Face"", ""How to Kiss"", ""One of Those Days"", ""25 Ways to Quit Smoking"", ""Plymptoons"", ""Nosehair"" and ""How to Make ...                See full summary »",1997,"Animation, Biography, History",,53 min,6.9,106
Aa Megamisama: Sorezore no tsubasa,"Set one year after Aa. Megami-sama!. The song may say thank heaven for little girls, but whom is college student Morisato Keiichi supposed to thank when three honest to goodness Goddesses ...                See full summary »",2006–2007,Animation,,,7.1,154
Little Ghosts,"Based on the best-selling books, this charming series explores the magical world of four young ghosts who live and play in a huge, rambling castle.",2002– ,Animation,,,8.6,14
Cinderella: Consipracy at the Emerald Castle,"The emerald castle is the royal house of Charles but The wicked Duke Zaral is willing to take possession of the throne and strongly determined to eliminate Charles, the only true obstacle to the achievement of his goal.",2007,Animation,,78 min,,
Bapu,"Bapu is an Indian animation show inspired by the revered Indian personality Mohandas Karamchand Gandhi. It is a fictional show about the adventures of Gandhi set in modern context featuring values, ethics and a whole lot of entertainment.",2020– ,Animation,,,,
Crime Time,"Crime always pays - with big laughs in this clever series of rambunctious animated shorts. Shifty (The Criminal), a pint-sized pilferer with lofty ambitions and limited brainpower, ...                See full summary »",2008– ,Animation,,2 min,8.1,42
Eddsworld Next,Edd falls in love with your sister,2017– ,Animation,,,8.5,17
Lung do kei yuen,"A town is attacked by a deadly creature. The only thing that can stop it is the DragonBlade, but the one who knows where it is won't tell others, since untold peril await anyone who finds this legendary weapon.",2005,"Animation, Action, Adventure",,85 min,5.1,406
Luv Kush - The amazing twins,Luv Kush is the story of the amazing twins of Ram and Sita. They are born to Sita while she is in exile at Valmiki's ashram. Ram is unaware of their birth. To proclaim his might and glory ...                See full summary »,2007,"Animation, History",,57 min,,
Wooparoo Adventure,"Once upon a time, there was a war between the ancient hero Wooparoos and the evil Wooparoos. After a long war, the ancient hero Wooparoos sealed the evil bosses and even themselves in a ...                See full summary »",2019,"Animation, Action, Adventure",,,,
Suske en Wiske,Add a Plot,1975–1976,"Adventure, Animation, Comedy",,22 min,7.1,59
The Remarkable Mr. King,"A well-meaning, short-sighted, little lion uses Big Thinks and Thoughtful Thinks to help navigate everyday life in the Kaleidoscope Woods.",2019– ,Animation,,,,
House of Rejects,Add a Plot,2022– ,"Animation, Comedy",,,,
"Wacky Game Jokez, 4 Kidz!","People like it and people hate it, just like how the world operates.",2010,Animation,,,,
The Honey Bunny Show with Kapil Sharma,"This a Brand New Show of Honey Bunny Ka Jholmaal. In this show, Honey, Bunny, Zordaar and Popat do funny things with Kapil Sharma.",2020– ,"Animation, Comedy",,,2.3,61
Przygody blekitnego rycerzyka,"A protagonist of fairy-tale is a spirit of colors, blue elf is a brave noble creature. He rescues from faithful death of Page, being taken prisoner to Hornet. For this exploit a Queen dedicates him in knights.",1984,"Animation, Family",,93 min,6.7,37
Flatmania,Add a Plot,2004– ,Animation,,13 min,6.6,41
Ohishisama no rêru,"A young Japanese actress remembers her war childhood in Korea. Her father goes to fight, her baby sister Miko dies of typhoid, her beloved Korean maid Ohana is fired due to a mistake which ...                See full summary »",1993,"Animation, Biography, Drama",,76 min,7.2,102
Tom und das Erdbeermarmeladebrot mit Honig,Tom wants bread with strawberry jam and honey and that's exactly what Tom intends to get.,2003– ,Animation,,5 min,7.2,77
Otogi sutôrî tenshi no shippo,A down on his luck guy is told by a fortune teller that his luck will change. Soon after three girls appear claiming to be his guardian angels.,2001– ,"Animation, Comedy",,22 min,7.0,31
Muka Muka Paradise,Uiba Shikatani is the daughter of a pet shop owner but gets sad when she finds out some reptile eggs don't hatch. Too try to make her happy her father brings her a giant striped egg which ...                See full summary »,1993–1994,"Animation, Adventure, Comedy",,,6.6,91
VeggieTales: Veggies in Space,"A Lesson in The Power of Sharing! Join Captain Cuke (Larry the Cucumber) and his loyal first officer, Mr. Spork (Bob the Tomato), as they embark on an out of this world adventure to bravely...                See full summary »",2014,"Animation, Adventure, Comedy",,50 min,6.9,66
One Off,"Haruno Shiozaki is a young high school student living in a small town. After sixteen years stuck there, she wants to leave her hometown, but is uneasy about the future. She then meets ...                See full summary »",2012,Animation,,,6.5,21
Zombie Dumb,Add a Plot,2019– ,"Animation, Adventure, Comedy",,,5.9,20
Ville Neuve,"On the coast of the Canadian Gaspé Peninsula one summer, Joseph has moved in with a friend, where he succeeds in getting his ex-wife to accompany him. Against the background of the fiery ...                See full summary »",2018,"Animation, Drama",,76 min,6.4,40
This Functional Family,A guy tries to be the best family man he can be.,,Animation,,,,
Pili Fantasy: War of Dragons,"Turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces.",2019– ,"Animation, Action, Fantasy",,,7.0,41
Newsbag,Add a Plot,2013– ,"Animation, Comedy",,,6.0,19
Rainbow Chicks,Add a Plot,2018– ,"Animation, Family",,5 min,,
Reset game: Yandere Simulator,Add a Plot,2019– ,"Animation, Drama, Romance",,,,
Kiniro Mosaic: Thank You!!,Add a Plot,2021,"Animation, Comedy",,82 min,6.1,19
Tekkaman the Space Knight,"Sci-fi animated TV series about space pilot Barry Gallagher, who battles evil alien robots by donning an indestructible suit of space armour, becoming Tekkaman.",1984– ,"Animation, Action, Adventure",,30 min,7.0,36
Maesetsu!,Four girls work hard to become great comedians.,2020– ,"Animation, Comedy",,,6.1,18
Avenger,"Years into the future, colonies have been established on Mars. Resources on the dying red planet are thin, and the domed cities have resorted to a gladiator contest to determine which of ...                See full summary »",2003– ,"Animation, Action, Drama",,25 min,5.9,85
The Matchless Raijin-Oh,Elementary school children take control of giant robots to save the earth from the evil Jaku Empire.,1991–1993,"Animation, Action, Adventure",,23 min,7.9,13
Chronokids,Two kids find a time-traveling phone and use it to travel through time to cheat on history tests or to make life easy. But it never ends well.,2014– ,Animation,,,,
Get Squiggling!,"Squiglet teaches pre-school kids how to draw, using basic colours and shapes, as well as plenty of imagination.",2008–2011,Animation,,,7.3,11
Kleiner Dodo,Cute orangutan Dodo loves sounds and imitates them. One day he finds a mysterious thing.,2008,"Animation, Adventure, Family",,79 min,6.5,84
Planting Seeds of Mindfulness Animated Movie,"Jasper, a 16 year old Asian-African-American teenager, uses the power of mindfulness, meditation and kindness to cope with everyday family and school situations. The animated movie features...                See full summary »",2016,"Animation, Family",,56 min,,
Eiga Purikyua ôru sutâzu NewStage: Mirai no tomodachi,"Fusion, the dark matter, threatens Japan but the Prettycure defeat him left with particles of him scattered all around. Megumi, cure Happy, and her friends search for Fusion followed by ...                See full summary »",2012,Animation,,70 min,7.2,122
A Therapy for Metrophobia,It's about a guy traveling in a desert.,2010,"Animation, Comedy, Drama",,71 min,,
Deadstar the Movie,"Set in a distant universe, the main character, Harrison was a soldier in a rebellion against a galactic organization called Atlas. However, Harrison was dishonorably discharged after he ...                See full summary »",2014,Animation,,63 min,8.0,10
Simba Junior Goes to New York,"Winner the dog is kidnapped and taken to New York City by a woman who thinks he is lost in the Jungle. But thanks to Arbor, the tree, Simba Jr. and the other friends manage to follow ...                See full summary »",1997,Animation,,94 min,5.3,14
Poil de carotte,Add a Plot,1996–1999,Animation,,26 min,7.1,18
elDLIVE,"Chuuta Kokonose has been hearing voices in his head since childhood. One day, he gets taken and transported to a space police station, filled with mysterious creatures and given a test, to check his ability to become a member of eLDLIVE.",2017– ,"Animation, Action, Crime",,24 min,6.2,56
Oshiri Tantei,Add a Plot,2018– ,Animation,,,,
Beekle,An imaginary character named Beekle sets off on a journey in search of a friend.,,"Animation, Family, Fantasy",,,,
Mundo Bita,Add a Plot,2013–2019,"Animation, Family, Musical",,,8.6,29
Sunny Bank Garden,"Have you ever wondered how fruit and vegetables grow? So have Barney and Pippa. They join their Grampy and his friends at the Sunny Bank Gardens where they play, learn and grow their own ...                See full summary »",2018– ,Animation,,,,
Uchu Kubo Blue Noah,"Year 2052. The Gothams, an alien race, attack Earth. Most of the human population is destroyed. The Gotham's moon, a military battle station, becomes Earth's second moon. A submarine, Blue ...                See full summary »",1979–1980,"Animation, Action, Adventure",,25 min,7.6,117
Willi Wühlmaus geht auf Weltreise,Add a Plot,1993–1995,Animation,,23 min,,
Gekidol,"A group of girls fascinated by the ""Theatrical Material System"" pursue their dreams of being on stage after the disappearance of an entire city. How will their fates entwine?",2021– ,"Animation, Drama, Music",,,5.6,42
Ebb and Flo,"Flo doesn't think of Ebb as a dog, and Ebb doesn't think of Flo as a small human, they just are the best of friends. Until Bird arrives to lovingly disrupt Ebb's world. Ebb and Flo's home ...                See full summary »",2005–2006,Animation,,,,
Hell Ark,Add a Plot,2022– ,"Animation, Comedy",,,,
Black Hat,"Desperate to get to an anime convention halfway across the country, a quirky teen artist ""borrows"" her sister's car, kidnaps her wily, black sheep grandfather and together they embark on the road trip of a lifetime.",I,"Animation, Comedy, Drama",,,,
Neznaika v Solnechnom gorode,Add a Plot,1977,"Animation, Family",,,6.0,126
"Heyyy, It's the King!","A cool, Fonzie-patterned lion named King alongside his high school classmates Big H, Clyde, Skids, Yukayuka, Sheena and Zelda attempt schemes to get into the spotlight.",1977,"Animation, Adventure, Comedy",,9 min,6.2,20
Drawing Power,"From the creative minds that brought the world Schoolhouse Rock, Drawing Power promoted life lessons through the use of animation, humor and colorful characters.",1980– ,"Animation, Comedy, Family",,,6.3,19
Enigma,The international success of these episodes where you can find the young girl who is concerned about the future and the fact that no-ones seems to be aware of the forces of the underworlds ...                See full summary »,1996–1998,Animation,,,,
Nelly & Nora,The everyday adventures of two sisters.,2015– ,Animation,,7 min,7.6,33
Shikizakura,"Shikizakura: where cherry blossoms are in full bloom while trees are colored with autumn leaves. In this special place, where the transient world meets the spirit world, a ritual to save ...                See full summary »",2021– ,"Animation, Drama, Fantasy",,,5.6,21
Zoobabu,What has stretchy cheeks and fast-moving feet? Add up the clues in these playful riddles and learn about dozens of animals from around the world.,2010–2022,Animation,,23 min,7.4,9
Mr. Men & Little Miss,Add a Plot,2020– ,Animation,,,,
Flea-bitten,Flea-Bitten is a cartoon comedy about a pair of unlikely friends. A dog called Flea-bag and a wise talking flea called Itchy. They escape the dog pound and along the way run into ...                See full summary »,2012– ,"Animation, Adventure, Comedy",,24 min,7.7,11
Flightless,"Far Far away in a mystical aviary world, three very special earth-bound birds learn that you don't have to fly in order to soar.",I,Animation,,,,
Buck & Buddy,"In a world teetering on the edge of collapse, resources are far and few between. The battle for survival is both beautiful and beastly, and best friends Buck and Buddy are there to take on ...                See full summary »",2020– ,Animation,,5 min,,
Ghosts of Manhattan,"This sci-fi, adult animated TV series has coppers and kingpins clashing amidst acolytes of the occult, uniting playboys and gum-shoes against monsters that lurk in in the shadows.",,"Animation, Crime, Sci-Fi",,,,
Daibajensu ivu: Misaki kuronikuru,"A sequel to Divergence Eve (2003), it starts 2315 when Misaki is in the military academy so she can know more about her late dad who was a soldier/pilot.",2004– ,"Animation, Drama, Horror",,24 min,6.6,26
The Wrong Man,"A love affair gone terribly wrong. From his holding cell on death row, the protagonist, Duran, recounts the events of his life that lead to his dreadful predicament. Set in Reno, Duran ...                See full summary »",2019,"Animation, Drama, Music",,65 min,,
Where My Dogs At?,This new MTV cartoon stars veteran stand-up comics Jeffrey Ross and Tracy Morgan as a pair of stray dogs trying to make it on their own in Hollywood.,2006,"Animation, Comedy",,30 min,6.6,230
Papiyon rôze: Nyû shîjin,Add a Plot,2006– ,"Animation, Comedy",,,4.5,21
Country Kids in the City,An animated web-series of shorts following the misadventures of Cricket and Tilly Green as they explore the Big City.,2018,"Animation, Short, Comedy",,1 min,6.7,8
Poe,A biography of Edgar Allan Poe wraps around four of his most famous tales and several of his poems.,2013,Animation,,90 min,,
Dessert Island,"An animated comedy about Fred and Conan, an odd couple of desserts stranded together on a tropical island.",2018– ,Animation,,,,
Junglies,Animated adventures set on Junglie Island with a host of animal friends.,1991– ,Animation,,5 min,6.4,8
Perezoso Doom,A guy with a sloth profile picture reviews cartoons and anime.,2014– ,"Animation, Comedy, Talk-Show",,,6.5,135
Fetch the Vet,"Tom Fetch is a vet in the village of Duckhurst. With his nurse, Kara, he looks after the local animals. Kids Pippa, Joe and Lucy help and life is never dull for Tom in Duckhurst.",2000–2001,Animation,,,6.6,19
Bubu e as Corujinhas,"Three young owls (Bubu, Bonie and Beil) explore the forest and face new discoveries, all while making friends, singing songs, and discovering the beauty of nature along the way.",2018– ,"Animation, Family",,,7.3,47
Børste,Add a Plot,2021– ,Animation,,,,
Kuiba: the Dragon Spirit Iii,"Before he can get close to the real enemy, Manji faces challenges from two powerful opponents : Da Cang - a master of using body pulse, and Hai Wen Xiang - a sea witch who is extremely ...                See full summary »",2014,"Animation, Adventure, Family",,90 min,6.9,59
Oliver Harper's Retrospectives and Reviews,"A series of episodes of Retrospective and Reviews by the YouTube of Nostalgia, Oliver Harper.",2011– ,"Documentary, Animation, Action",,,8.6,110
Dungeon Meshi,Add a Plot,,"Animation, Comedy, Fantasy",,,,
Scribbles & Ink,Add a Plot,2019– ,Animation,,30 min,,
Boons and Curses,"Comedic action series incorporating South Asian myths set in the of Maya, featuring Baan, a diminutive warrior transformed into butter by a curse and tasked with standing up to the villainous Raj.",,"Animation, Action, Adventure",,,,
"Leif Erickson, Discoverer of North America",A boy meets a beautiful girl and finds adventure on the high seas.,2000,"Adventure, Animation",,85 min,4.1,49
Monster Strike The Movie: Sora no Kanata,Add a Plot,2018,"Animation, Action",,97 min,3.1,30
Toki no Tabibito,"Time Stranger is the story of a bunch of teenagers getting transported back in time through Japan's history, and getting mixed up with samurai shenanigans.",1986,"Animation, Fantasy",,91 min,6.3,124
Cat Planet,"Nanette, Thomas, and Madeline are the picture of Brooklyn gentrification: white, middle class, liberal arts-educated potheads who are suddenly faced with a brutal truth: Cats are aliens and...                See full summary »",2016– ,"Animation, Comedy, Sci-Fi",,,7.2,7
Oum le dauphin blanc,A boy meets and befriends a white dolphin named Zoom and they encounter a series of exciting adventures.,1971–1972,"Adventure, Animation, Family",,,7.7,76
Combo Ninos,Four kids who can transform themselves into animal-inspired superheroes protect their city from the evil Divinos.,2008– ,"Animation, Action, Comedy",,26 min,7.6,29
Ashita e Atakku!,"The volleyball club of Tachibana high school has been dissolved Mimi Hijiiri is committed to reopening it, and finally manages to form a team of six girls to participate in the youth championships.",1977,"Animation, Drama, Sport",,24 min,6.6,15
Cueio,Add a Plot,2013–2015,Animation,,1 min,8.5,89
Momo,"The undersea adventures of Momo, a precocious young octopus, and her fish friends in the aquarium.",2022– ,Animation,,5 min,,
Timing,Three people with different mysteries abilities want to solve the mystery of a mass suicide in order to prevent another one.,II 2014,"Animation, Drama, Mystery",,99 min,5.3,27
Badanamu Cadets,"Meet the Badanamu Cadets-a team of six spunky, creative, and intrepid heroes in-training. While studying under the ingenious Professor Pip and his team of Eccos, the Cadets learn everything...                See full summary »",2018– ,"Animation, Short, Family",,,7.8,9
Chansu: Toraianguru sesshon,Three girls strive to become pop idols.,2001– ,"Animation, Comedy, Music",,,6.6,14
The Littlest Angel 2: Lily Has A Secret,Add a Plot,2023,Animation,,87 min,,
Enigma,Add a Plot,1997– ,"Animation, Mystery",,26 min,5.2,12
Michel,"A young woman is after a evil gang group of thieves called The Black Hammer Gang. But they get go to an island owned by fairies and Michel, their guardian.",2003– ,"Animation, Adventure, Fantasy",,,,
Oshare majo Rabu and Berî: Shiawase no mahou,"A movie based on the popular fashion card and arcade dance game aimed at young girls. The magical Princesses Love and Berry are best friends and possess Fashion Magic, but they become rivals for attention when they're on the dance floor.",2007,"Animation, Fantasy",,51 min,,
Paddle Pop Adventures 2: Journey Into the Kingdom,Add a Plot,2012,"Animation, Action, Adventure",,88 min,5.0,33
Aoki ryûsei SPT Reizunâ,"In an alternate 1996, the US and USSR take the Cold War to Mars. A group of teenage cadets, the Cosmic Culture Club, are sent as a message of goodwill to both sides by being assigned to the...                See full summary »",1985–1986,"Animation, Action, Adventure",,24 min,7.3,45
ZeD,Add a Plot,2002–2006,"Animation, Music",,40 min,7.5,22
As Aventuras do Avião Vermelho,"A film about imagination, in which the protagonist goes on internal journeys around the world, overcoming fears and making new discoveries.",2014,"Animation, Adventure, Comedy",,70 min,6.8,151
Victor_Robot,"The artificial Iron Star has stopped shining for some unknown reason, and a girl named Victoria and her parents are arriving on a starship to repair it. In search of the creator of the Iron...                See full summary »",2020,"Animation, Adventure, Sci-Fi",,75 min,7.5,105
John Vardar vs the Galaxy,"One completely unexceptional man. One emotionally unstable robot with a huge spaceship - and many, many, many aliens. On a mission to save (or destroy) the Galaxy.",,"Animation, Comedy, Sci-Fi",,90 min,,
Captain Pitt,"""Captain Pitt"" was a hosted children;s show with George A. Lewis as ""Captain Pitt"".",1978–1990,"Animation, Adventure, Comedy",,,,
Urbanus: De Vuilnisheld,The adults from Tollembeek make a deal with a Russian who wants to pay them a lot of money to turn the town into a national garbage dump. The children are not happy with this and start to rebel against their parents.,2019,"Animation, Comedy",,72 min,5.3,253
Mati & Rocco,"It narrates the experiences of Mati, a shy know-it-all eight-year-old boy and his new friend Rocco, a restless and curious monster who comes from the center of the Earth and who is fascinated by the world on the surface.",2019,"Animation, Fantasy",,,,
Grimms' Fairy Tales,Plot Unknown.,,"Animation, Drama, Fantasy",,,,
Meruhen Medohen,"When the two girls meet, magic begins. Hazuki Kagimura loves stories, an orthodox girl who is overly imaginative. Because her relationship with her new family does not go well, the ...                See full summary »",2018– ,"Animation, Fantasy",,23 min,5.5,97
Nut boltu,"Nut boltu series is based on the incidents and activities of two kids named nut and boltu (bolt) who are around 10 years old. As the name suggests, they are naughty kids as well as thick ...                See full summary »",2016– ,"Animation, Comedy, Family",3+,,7.7,24
Project: Hey Arnold,Add a Plot,2018,Animation,,,,
Pandavas 5,Anime inspired Pandavas 5 (P5) Movie elaborates the adventures of five charming and uniquely talented Pandavas and their journey from rigorous training at Dronacharya's hermitage. With ...                See full summary »,2013,Animation,,,8.1,9
My Little Pony,Add a Plot,1984– ,Animation,,,,
Replicants on Atlantia,Add a Plot,,Animation,,,,
Tonde Buurin,"A young girl acquires the ability to become a super-powered alien pig. Not too pleased with being a pig, she has to become a super-powered girl by fighting crime and rescuing people.",1994–1995,"Animation, Action, Adventure",,24 min,6.7,134
Doctor Culo,Add a Plot,2009–2010,"Animation, Comedy",,,,
Tutenstein: Clash of the Pharaohs,"In this family comedy, 12-year-old Cleo's knowledge of ancient Egypt is turned on its head when a bolt of lightening awakens the mummified body of Tut-ankh-en-set-amun on display in a local...                See full summary »",2008,Animation,,71 min,7.4,37
Cutie Cubies,"A musical series about the adventures of four Cubies from outer space. In the first season, Red, Green, Blue, and Yellow are stuck on Earth after their Cubo-ship crashes. Here they met the ...                See full summary »",2017– ,"Animation, Short, Adventure",,11 min,8.5,12
Farbrorn som inte vill va' stor,"Ragnar work in an office. He turns 33 in May, and he has 45 in shoes. Ragnar has a vivid imagination. The more he thinks, the younger he wants to be.",1979,"Animation, Short, Family",,9 min,7.3,113
Kud Wafter,"This anime adapts Key's visual novel Kud Wafter, which follows the romantic relationship between Riki Naoe and Kudryavka Noumi from the game Little Busters.",2020,Animation,,50 min,6.3,35
Gakuen senki Muryô,"A small Japanese town is in fact the home of Shingu, a legendary protector of the Earth, controlled by the student council who go through life's trials and tribulations.",2001,"Animation, Sci-Fi",,25 min,7.4,40
Happy the Hoglet,Add a Plot,2022,Animation,,182 min,,
Mûmin,Add a Plot,1972,Animation,,30 min,7.3,34
Sinbad & the Heart of the Jade,"Follow the tale of an adventurous young boy, as he takes on the seven seas, unknown lands, and creatures of all shapes and sizes. Join Sinbad, on his first voyage ever.",,"Animation, Adventure, Comedy",,90 min,,
FarmKids,The FARMkids concept is based around the irony of farm animals who know nothing about living in the country. They are a bunch of fastlane pampered city animals who live a star studded life ...                See full summary »,2008– ,"Animation, Family",,13 min,6.3,24
Space Punch,"The Untitled Kung Fu Space Western centers on one of the galaxy's most charming outlaws, the leader of a funny, ragtag crew of rebel bandits that are put on a collision course with a legendary villain to determine the fate of the galaxy.",,"Animation, Action, Comedy",,,,
Kirarin Revolution,A 14 year old girl wishes to become a successful artist in order to impress the boy of her dreams who is a professional singer.,2006–2007,"Animation, Comedy, Music",,,7.1,63
Kukuli,The adventures of a playful and hyperactive monkey Kukuli and friends Tinky and Minky.,2013–2019,"Animation, Comedy, Family",,10 min,4.3,24
Loupetoo,"Mr. Kamali is the owner of a sanitarium who treats the patients by teaching them to make toys. The toys are creative, so they are very attractive to the children. But the toy studio shut because of sabotage and .",2022,"Animation, Comedy, Musical",,90 min,,
Aliens Among Us,A 12 year old Alien from the planet Gontop discovers Earthlings!,2002– ,"Animation, Comedy, Drama",,,6.6,13
Fiddley Foodle Bird,Add a Plot,1992,"Animation, Short, Family",,10 min,7.7,21
Team Mekbots: Animal Rescue,"Follows four animal-loving kids from around the world who use their tech skills to create giant Mekbots, each inspired by a different animal.",,Animation,,,,
Jambareeqi Reviews,Internet critic Jambareeqi reviews a variety of animated and live action films.,2012– ,Animation,,,7.5,41
Die Hydronauten,Neptuna is an extra terrestrialthat has been sent to Earth with the mission to study the marine world to save her planet from pollution.From the Baltic Sea to the Indian Ocean via the two ...                See full summary »,2003– ,"Animation, Family",,13 min,8.1,11
Minimalitos,"A collection of animated stories starring a group of little animals who share games, songs and great learning in kindergarten.",2011– ,Animation,,13 min,7.9,18
Snip and Snap,"Animated stop-motion shorts featuring Snip, a magical pair of scissors, and Snap, an origami styled paper cut dog with his paper dog friends. Designed and animated by Thok Søndergaard who went on to develop Danish children TV animation.",1960– ,"Animation, Family",,6 min,7.0,11
Super BOOMi,BOOMi Bear is a superhero.,2019– ,Animation,,22 min,,
The Prince of Dinosaurs,"Join Rakhal, Prince of the Land of Ice, and his five dinosaur friends on a journey to find the meaning of an ancient parchment. The friends must free Princess Aura and bring peace back to the land in this high quality animated feature.",2000,Animation,,79 min,5.6,38
Chintu Skool,This is a story of two children from different backgrounds. Chintu a fortunate boy with well to do parents and Putti the daughter of a housemaid who cannot afford a formal education. Chintu...                See full summary »,2010,"Animation, Drama, Fantasy",,92 min,,
Janked,"An anthology film about a con artist, a desperate couple and a loan shark intertwining in three tales of greed, violence, and Hitchockian twists.",2011,"Animation, Comedy, Crime",,81 min,8.3,20
Bola Kampung: The Movie,"Amanda, a young princess from the virtual world game ""Kingdom Hill"", was sent to Gong Lechar Village to find the legendary ""Solar Hero"", the savior of her son's crisis.",2013,"Animation, Adventure, Sci-Fi",,97 min,7.0,75
Bring Us Your Women,Bring Us Your Women is an international anthology dedicated to women and the pursuit of divinity and freedom. The project seeks to tell existing and re-imagined stories of historic and ...                See full summary »,2015,"Animation, History, Music",,65 min,4.7,55
Iggy the Eagle,Add a Plot,,Animation,,90 min,,
Young Math Legends,Imagine if you could meet the legends of mathematics -- when they were kids themselves. Each short animated episode (under 5 minutes each) will introduce these amazing figures and get ...                See full summary »,2018– ,Animation,,,8.3,10
Chibi Revenger,The short two minute long specials center on the daily lives of the various Tokyo Revengers (2021) characters.,2021– ,"Animation, Comedy",,,7.2,14
"Mercano, el marciano","When his pet is killed by a probe from earth, Mercano, a Martian, travels to earth angered. Landing in Buenos Aires, at first no one takes any notice of him.",2002,"Animation, Comedy, Sci-Fi",,87 min,6.6,501
Desmond & träskpatraskfällan,"The first Swedish stop-motion animated movie (theatrical). Desmond and his friends are haunted by ""träskpatrasket"", a thing in the swamp, perhaps a monster? They're not exactly sure it ...                See full summary »",2006,Animation,,68 min,6.4,82
Michael Lamberti's Kingdom City,Add a Plot,,"Animation, Comedy, Horror",,,,
Hakushon Daimaou 2020,Add a Plot,2020– ,Animation,,,,
Clouded Moon,An unknown creature keeps killing cats in the lake territories.,2020– ,"Animation, Drama, Thriller",,,,
Jibaku-kun,"Bucky, the protagonist of the history, is a normal boy that lives in the first world. He lives with a single and humble ambition: to dominate the world (in the sense of the whole planet). ...                See full summary »",1999–2000,"Animation, Adventure, Comedy",,23 min,7.0,33
Kingyo chûihô!,"A spoiled child is transferred to a rural public school, where cows, chickens and other farm animals also attend to classes, together with her pink flying kingyo (goldfish).",1991–1992,"Animation, Comedy",,24 min,7.8,15
Fourways Farm,The everyday adventures evolving around the animals on Fourways Farm. Quirky educational children's animated television series narrated by Martin Jarvis.,1994–1995,Animation,,9 min,8.0,14
"Par-courts Gay, Volume 1",Add a Plot,2011,"Animation, Drama, Romance",,150 min,6.5,15
Bah Koo,"An engaging retelling of the Asian myth Baku, the Dream Eater. The animated feature based on the children's book Bah Koo, follows his journey as he discovers his special purpose . . . ...                See full summary »",,Animation,,,,
10 + 2,"It takes place in the fictional country Numberland, centered in a school taught by the teacher Aristotle and his assistant Infinite.The students consist of ten living numbers from zero till nine, each with differing personalities.",1994–2005,Animation,,11 min,6.1,45
Two Pennies,Young Jeni find out her collection of pennies can do real miracles she is at first thrilled. When evil circus lady- Maybelle the fortune teller tries to steal them she finds out quickly that sometimes you can judge a person on first sight.,2018,Animation,,93 min,,
Little J & Big Cuz,"Five-year-old Little J and nine-year-old Big Cuz are a couple of indigenous Australian kids living with their Nanna and old dog. All their friends are nearby, and school is just a stroll away along a bush track.",2017,"Animation, Family",,,7.9,34
Horace in Slow Motion,Add a Plot,2010– ,Animation,,,3.5,34
Habil ile Kabil,Habil and Qabil (Cain and Abel) is based upon a story from the Holy Quran.,2003,"Animation, Biography, Drama",,101 min,6.6,56
Deji Meets Girl,"One summer Maise Higa, a listless first-year high school girl who works part-time at the front desk of her family's hotel in Okinawa, meets an ""Ichiro Suzuki,"" a mysterious youth who came alone from Tokyo as a hotel guest.",2021– ,Animation,,,5.5,61
Allen Hansen Cartoon Show,Add a Plot,1996– ,"Animation, Comedy",,22 min,,
Los trotamúsicos,"The adventures and misadventures of Koki, Lupo, Burlón and Tonto: the Four Musicians of Bremen.",1989– ,"Animation, Adventure, Comedy",,30 min,6.1,255
Baribari Densetsu,"The film is about 4 high school seniors, who race on the mountain roads at night in order to refine their motorcycle skills build up their skill in an attempt to become professional motorcycle racers.",1986– ,"Animation, Action, Sport",,,7.2,22
Nothing Unusual,"In Japan, Rokurokubi are known to be like Vampires. They're known to be dangerous Yokai for committing horrible deeds. Except for one. Asumi Mayako -- Born a Rokurokubi, now lives a normal ...                See full summary »",2023,"Animation, Action, Adventure",,,,
Afrofuturism,Add a Plot,2017,Animation,,,5.1,14
Organic Man Animation Cartoons,Add a Plot,2022– ,"Animation, Adventure, Family",,,,
Usei shônen popi,"Prince Planet was sent from his home planet Radion to study the people of Earth and help them in their fight against evil. His power comes from a pendant he wears, which can only be recharged by energy transmitted from Radion.",1965–1966,"Animation, Action, Family",,30 min,8.1,203
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.","Ryuuto Kashima's a gloomy high schooler. As part of a punishment game, he's forced to confess to Runa Shirakawa, a girl from the top of the school caste who's admired by everyone.",,"Animation, Romance",,,,
TSMC Minecraft Adventures,Based on The TSMC Minecraft YouTube Channel comes up a brand new series about a koala who's great at building stuff. He also goes on adventures around stream city and his city tutorial world.,2021– ,Animation,,,,
Super Turbo Story Time,It follows two hosts as they meet and trade their favorite car stories.,2023– ,"Documentary, Animation",,,,
